estacao=TRMM.4762 (9005761)
municipio=Espigão D`Oeste (1100098)
latitude=-11,0
longitude=-61,0
altitude=204,0m 

* variaveis calculadas pelo sistema 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; precipitacao ; precipitacao Estimada ; estiagem* ; estiagemAgricola* ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; evapotranspiracaoPotencial ; radiacaoSolar ; velocidadeVento ; direcaoVento ; horarioVento ; pontoOrvalhoMinimo ; pontoOrvalhoMaximo ; pressaoAtmMinima ; pressaoAtmMaxima ; evapotranspiracaoReal* ; disponibilidadeAguaSolo*
01/04/2019;23,0;sim;28,5;sim;34,0;sim;0,08;não;;;;não;;não;;;;;;;;;;;
31/03/2019;23,0;sim;28,0;sim;33,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
30/03/2019;23,0;sim;28,0;sim;33,0;sim;2,68;não;;;;não;;não;;;;;;;;;;;
29/03/2019;23,0;sim;26,5;sim;30,0;sim;18,23;não;;;;não;;não;;;;;;;;;;;
28/03/2019;23,0;sim;25,5;sim;28,0;sim;20,48;não;;;;não;;não;;;;;;;;;;;
27/03/2019;23,0;sim;27,5;sim;32,0;sim;16,73;não;;;;não;;não;;;;;;;;;;;
26/03/2019;23,0;sim;28,0;sim;33,0;sim;2,0;não;;;;não;;não;;;;;;;;;;;
25/03/2019;23,0;sim;28,0;sim;33,0;sim;20,38;não;;;;não;;não;;;;;;;;;;;
24/03/2019;23,0;sim;27,5;sim;32,0;sim;48,55;não;;;;não;;não;;;;;;;;;;;
23/03/2019;23,0;sim;28,0;sim;33,0;sim;1,08;não;;;;não;;não;;;;;;;;;;;
22/03/2019;22,0;sim;26,5;sim;31,0;sim;1,13;não;;;;não;;não;;;;;;;;;;;
21/03/2019;20,0;sim;25,5;sim;31,0;sim;0,73;não;;;;não;;não;;;;;;;;;;;
20/03/2019;23,0;sim;29,0;sim;35,0;sim;0,03;não;;;;não;;não;;;;;;;;;;;
19/03/2019;23,0;sim;28,5;sim;34,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
18/03/2019;23,0;sim;28,0;sim;33,0;sim;2,45;não;;;;não;;não;;;;;;;;;;;
17/03/2019;22,0;sim;28,0;sim;34,0;sim;4,7;não;;;;não;;não;;;;;;;;;;;
16/03/2019;23,0;sim;29,0;sim;35,0;sim;4,6;não;;;;não;;não;;;;;;;;;;;
15/03/2019;23,0;sim;27,5;sim;32,0;sim;0,15;não;;;;não;;não;;;;;;;;;;;
14/03/2019;23,0;sim;27,5;sim;32,0;sim;0,33;não;;;;não;;não;;;;;;;;;;;
13/03/2019;22,0;sim;27,5;sim;33,0;sim;1,8;não;;;;não;;não;;;;;;;;;;;
12/03/2019;23,0;sim;26,5;sim;30,0;sim;27,8;não;;;;não;;não;;;;;;;;;;;
11/03/2019;22,0;sim;27,0;sim;32,0;sim;0,88;não;;;;não;;não;;;;;;;;;;;
10/03/2019;23,0;sim;27,5;sim;32,0;sim;3,1;não;;;;não;;não;;;;;;;;;;;
09/03/2019;23,0;sim;27,5;sim;32,0;sim;12,65;não;;;;não;;não;;;;;;;;;;;
08/03/2019;23,0;sim;27,5;sim;32,0;sim;9,23;não;;;;não;;não;;;;;;;;;;;
07/03/2019;23,0;sim;27,0;sim;31,0;sim;2,0;não;;;;não;;não;;;;;;;;;;;
06/03/2019;22,0;sim;26,5;sim;31,0;sim;2,4;não;;;;não;;não;;;;;;;;;;;
05/03/2019;23,0;sim;27,5;sim;32,0;sim;0,08;não;;;;não;;não;;;;;;;;;;;
04/03/2019;22,0;sim;26,0;sim;30,0;sim;0,65;não;;;;não;;não;;;;;;;;;;;
03/03/2019;22,0;sim;27,5;sim;33,0;sim;22,13;não;;;;não;;não;;;;;;;;;;;
02/03/2019;23,0;sim;27,5;sim;32,0;sim;6,35;não;;;;não;;não;;;;;;;;;;;
01/03/2019;22,0;sim;26,0;sim;30,0;sim;16,35;não;;;;não;;não;;;;;;;;;;;
28/02/2019;22,0;sim;26,0;sim;30,0;sim;3,28;não;;;;não;;não;;;;;;;;;;;
27/02/2019;22,0;sim;25,0;sim;28,0;sim;9,65;não;;;;não;;não;;;;;;;;;;;
26/02/2019;23,0;sim;27,0;sim;31,0;sim;15,73;não;;;;não;;não;;;;;;;;;;;
25/02/2019;22,0;sim;26,0;sim;30,0;sim;4,78;não;;;;não;;não;;;;;;;;;;;
24/02/2019;22,0;sim;25,5;sim;29,0;sim;3,65;não;;;;não;;não;;;;;;;;;;;
23/02/2019;22,0;sim;26,5;sim;31,0;sim;4,55;não;;;;não;;não;;;;;;;;;;;
22/02/2019;23,0;sim;26,5;sim;30,0;sim;7,18;não;;;;não;;não;;;;;;;;;;;
21/02/2019;23,0;sim;27,5;sim;32,0;sim;0,33;não;;;;não;;não;;;;;;;;;;;
20/02/2019;23,0;sim;27,0;sim;31,0;sim;9,9;não;;;;não;;não;;;;;;;;;;;
19/02/2019;23,0;sim;26,0;sim;29,0;sim;27,03;não;;;;não;;não;;;;;;;;;;;
18/02/2019;22,0;sim;26,0;sim;30,0;sim;29,95;não;;;;não;;não;;;;;;;;;;;
17/02/2019;23,0;sim;26,0;sim;29,0;sim;5,7;não;;;;não;;não;;;;;;;;;;;
16/02/2019;23,0;sim;25,5;sim;28,0;sim;21,35;não;;;;não;;não;;;;;;;;;;;
15/02/2019;23,0;sim;27,5;sim;32,0;sim;0,75;não;;;;não;;não;;;;;;;;;;;
14/02/2019;23,0;sim;25,5;sim;28,0;sim;48,2;não;;;;não;;não;;;;;;;;;;;
13/02/2019;24,0;sim;28,5;sim;33,0;sim;4,85;não;;;;não;;não;;;;;;;;;;;
12/02/2019;23,0;sim;27,0;sim;31,0;sim;1,33;não;;;;não;;não;;;;;;;;;;;
11/02/2019;23,0;sim;27,5;sim;32,0;sim;12,23;não;;;;não;;não;;;;;;;;;;;
10/02/2019;22,0;sim;26,5;sim;31,0;sim;5,03;não;;;;não;;não;;;;;;;;;;;
09/02/2019;24,0;sim;27,5;sim;31,0;sim;6,98;não;;;;não;;não;;;;;;;;;;;
08/02/2019;23,0;sim;27,5;sim;32,0;sim;8,2;não;;;;não;;não;;;;;;;;;;;
07/02/2019;23,0;sim;28,0;sim;33,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
06/02/2019;23,0;sim;28,5;sim;34,0;sim;1,15;não;;;;não;;não;;;;;;;;;;;
05/02/2019;22,0;sim;27,0;sim;32,0;sim;4,45;não;;;;não;;não;;;;;;;;;;;
04/02/2019;22,0;sim;27,0;sim;32,0;sim;0,43;não;;;;não;;não;;;;;;;;;;;
03/02/2019;22,0;sim;27,0;sim;32,0;sim;10,23;não;;;;não;;não;;;;;;;;;;;
02/02/2019;22,0;sim;27,0;sim;32,0;sim;3,03;não;;;;não;;não;;;;;;;;;;;
01/02/2019;23,0;sim;26,5;sim;30,0;sim;0,2;não;;;;não;;não;;;;;;;;;;;
31/01/2019;23,0;sim;26,5;sim;30,0;sim;3,28;não;;;;não;;não;;;;;;;;;;;
30/01/2019;22,0;sim;25,0;sim;28,0;sim;0,73;não;;;;não;;não;;;;;;;;;;;
29/01/2019;22,0;sim;24,0;sim;26,0;sim;47,45;não;;;;não;;não;;;;;;;;;;;
28/01/2019;23,0;sim;26,0;sim;29,0;sim;14,85;não;;;;não;;não;;;;;;;;;;;
27/01/2019;23,0;sim;27,5;sim;32,0;sim;2,15;não;;;;não;;não;;;;;;;;;;;
26/01/2019;23,0;sim;27,5;sim;32,0;sim;0,68;não;;;;não;;não;;;;;;;;;;;
